,mode,min_energy,samples,rmsd_to_ref,target_energy,score_history
0,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-3369.48986450722
1,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-3438.3992593664716
2,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-3560.4047041327285
3,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-3641.601232122972
4,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-3641.376727796766
5,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-3660.9532105185094
6,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-3734.712311910389
7,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-3766.5734474166725
8,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-3752.465414937491
9,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-4039.589388252412
10,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-4196.710776038349
11,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-4231.96030744733
12,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-4506.53509116598
13,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-4804.486814987897
14,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-5010.312132116587
15,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-5165.955382905835
16,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-5360.835058697466
17,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-5270.908788249544
18,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-5496.500678840844
19,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-5940.754395472898
20,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-6351.308032913549
21,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-6664.435762542596
22,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-7486.994174011696
23,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-7854.774942179675
24,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-8145.646474437223
25,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-8788.704780978518
26,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-8940.137877804125
27,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9053.007379651686
28,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9288.281956335679
29,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9459.142957976586
30,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9506.446756371235
31,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9551.762273106378
32,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9570.298845016147
33,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9605.25124694114
34,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9621.644714338468
35,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9657.552553998441
36,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9670.156919533225
37,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9707.239241702999
38,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9748.590261917716
39,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9767.9920732274
40,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9790.019040077266
41,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9820.483455570396
42,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9838.95090464631
43,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9847.034201953424
44,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9869.68263778734
45,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9875.736811761279
46,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9879.550926724387
47,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9883.53365647491
48,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9896.896999665438
49,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9911.908605261913
50,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9922.19340211457
51,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9925.013836868446
52,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9932.43430172884
53,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9934.169965605684
54,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9936.3936628078
55,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9939.697830008832
56,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9949.934125443215
57,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9959.155654977516
58,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9963.36650187189
59,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9964.71960768923
60,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9965.731535323459
61,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9977.982483930433
62,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-9988.51892392911
63,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10011.544916836985
64,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10030.372081267149
65,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10056.408715865295
66,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10068.670211647477
67,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10083.030704926461
68,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10095.989730746316
69,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10103.750327785425
70,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10126.348659878086
71,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10152.754091234316
72,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10159.08040884093
73,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10168.018871737177
74,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10185.737652463393
75,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10208.65254598397
76,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10227.88816100985
77,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10239.668062512354
78,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10256.760944679849
79,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10259.809279562836
80,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10279.8333943408
81,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10300.639503920669
82,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10317.739940236968
83,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10330.504543966876
84,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10353.543033026284
85,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10374.283930601629
86,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10390.107629849055
87,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10402.642715057334
88,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10409.370562370495
89,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10427.798336760901
90,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10460.498067440076
91,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10476.245026509916
92,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10485.714806650038
93,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10509.385623518054
94,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10545.337089205208
95,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10579.618454348496
96,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10607.040679671976
97,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10622.868601559196
98,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10641.222227804246
99,3,-10664.197861359105,0,4.959316253662109,-1000000000.0,-10664.197861359105
